# CJK Unified Ideographs Extension B: U+20000..U+2A6DF
# CJK CJK Compatibility Ideographs Suppplement: U+2F800..U+2FA1F
# By Edward G.J. Lee. Public Domain. 2006.03.03.
𠀀	# U+20000
𠀁	# U+20001
𠀂	# U+20002
𠀃	# U+20003
𠀄	# U+20004
𠀅	# U+20005
𠀆	# U+20006
𠀇	# U+20007
𠀈	# U+20008
𠀉	# U+20009
𠀊	# U+2000A
𠀋	# U+2000B
𠀌	# U+2000C
𠀍	# U+2000D
𠀎	# U+2000E
𠀏	# U+2000F
𠀐	# U+20010
𠀑	# U+20011
𠀒	# U+20012
𠀓	# U+20013
𠀔	# U+20014
𠀕	# U+20015
𠀖	# U+20016
𠀗	# U+20017
𠀘	# U+20018
𠀙	# U+20019
𠀚	# U+2001A
𠀛	# U+2001B
𠀜	# U+2001C
𠀝	# U+2001D
𠀞	# U+2001E
𠀟	# U+2001F
𠀠	# U+20020
𠀡	# U+20021
𠀢	# U+20022
𠀣	# U+20023
𠀤	# U+20024
𠀥	# U+20025
𠀦	# U+20026
𠀧	# U+20027
𠀨	# U+20028
𠀩	# U+20029
𠀪	# U+2002A
𠀫	# U+2002B
𠀬	# U+2002C
𠀭	# U+2002D
𠀮	# U+2002E
𠀯	# U+2002F
𠀰	# U+20030
𠀱	# U+20031
𠀲	# U+20032
𠀳	# U+20033
𠀴	# U+20034
𠀵	# U+20035
𠀶	# U+20036
𠀷	# U+20037
𠀸	# U+20038
𠀹	# U+20039
𠀺	# U+2003A
𠀻	# U+2003B
𠀼	# U+2003C
𠀽	# U+2003D
𠀾	# U+2003E
𠀿	# U+2003F
𠁀	# U+20040
𠁁	# U+20041
𠁂	# U+20042
𠁃	# U+20043
𠁄	# U+20044
𠁅	# U+20045
𠁆	# U+20046
𠁇	# U+20047
𠁈	# U+20048
𠁉	# U+20049
𠁊	# U+2004A
𠁋	# U+2004B
𠁌	# U+2004C
𠁍	# U+2004D
𠁎	# U+2004E
𠁏	# U+2004F
𠁐	# U+20050
𠁑	# U+20051
𠁒	# U+20052
𠁓	# U+20053
𠁔	# U+20054
𠁕	# U+20055
𠁖	# U+20056
𠁗	# U+20057
𠁘	# U+20058
𠁙	# U+20059
𠁚	# U+2005A
𠁛	# U+2005B
𠁜	# U+2005C
𠁝	# U+2005D
𠁞	# U+2005E
𠁟	# U+2005F
𠁠	# U+20060
𠁡	# U+20061
𠁢	# U+20062
𠁣	# U+20063
𠁤	# U+20064
𠁥	# U+20065
𠁦	# U+20066
𠁧	# U+20067
𠁨	# U+20068
𠁩	# U+20069
𠁪	# U+2006A
𠁫	# U+2006B
𠁬	# U+2006C
𠁭	# U+2006D
𠁮	# U+2006E
𠁯	# U+2006F
𠁰	# U+20070
𠁱	# U+20071
𠁲	# U+20072
𠁳	# U+20073
𠁴	# U+20074
𠁵	# U+20075
𠁶	# U+20076
𠁷	# U+20077
𠁸	# U+20078
𠁹	# U+20079
𠁺	# U+2007A
𠁻	# U+2007B
𠁼	# U+2007C
𠁽	# U+2007D
𠁾	# U+2007E
𠁿	# U+2007F
𠂀	# U+20080
𠂁	# U+20081
𠂂	# U+20082
𠂃	# U+20083
